"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"12/04/2018","NY","Yonkers","Under investigation","A 69-year-old woman died in an apartment fire.","Female","69","Older adults (65 and older)","","N","Multifamily","Not reported","http://westchester.news12.com/story/39585925/elderly-woman-dies-in-yonkers-apartment-fire"
"12/03/2018","NY","Poughkeepsie","Open flame","Four people died in a vacant house fire
Candles were determined to be the cause for the fire.","Male","Unknown","Unknown","1 of 4","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2018/12/03/4-found-dead-after-fire-in-vacant-house"
"12/03/2018","NY","Poughkeepsie","Open flame","Four people died in a vacant house fire
Candles were determined to be the cause for the fire.","Female","Unknown","Unknown","2 of 4","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2018/12/03/4-found-dead-after-fire-in-vacant-house"
"12/03/2018","NY","Poughkeepsie","Open flame","Four people died in a vacant house fire
Candles were determined to be the cause for the fire.","Male","Unknown","Unknown","3 of 4","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2018/12/03/4-found-dead-after-fire-in-vacant-house"
"12/03/2018","NY","Poughkeepsie","Open flame","Four people died in a vacant house fire
Candles were determined to be the cause for the fire.","Unknown","Unknown","Unknown","4 of 4","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2018/12/03/4-found-dead-after-fire-in-vacant-house"
"12/01/2018","NY","Alexandria","Heating","A 65-year-old man died in a trailer fire.","Male","65","Older adults (65 and older)","","N","Camper/RV/travel trailer","Not reported","http://www.wwnytv.com/story/39572888/alexandria-man-dead-after-fire-at-his-home"
"11/29/2018","NY","South Bristol","Under investigation","A 74-year-old woman and a 68-year-old woman died in a house fire.","Female","74","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not reported","http://www.gazettes.com/news/investigators-blame-cigarettes-oxygen-for-fatal-belmont-shore-fire/article_ab12ff1a-f3ea-11e8-b8eb-07f53a328647.html"
"11/29/2018","NY","South Bristol","Under investigation","A 74-year-old woman and a 68-year-old woman died in a house fire.","Female","68","Older adults (65 and older)","2 of 2","N","1 & 2 family
","Not reported","http://www.gazettes.com/news/investigators-blame-cigarettes-oxygen-for-fatal-belmont-shore-fire/article_ab12ff1a-f3ea-11e8-b8eb-07f53a328647.html"
"11/27/2018","NY","Massapequa","Under investigation","A 62-year-old man died in a house fire.","Male","62","Unknown","","N","1 & 2 family
","Not reported","https://abc7ny.com/1-dead-in-massapequa-house-fire/4779417/"
"11/18/2018","NY","Fairmount","Under investigation","A 55-year-old man died in a house fire.","Male","55","Unknown","","N","1 & 2 family
","Not reported","https://www.syracuse.com/crime/index.ssf/2018/11/victim_of_fairmount_home_fire_identified.html"
"11/16/2018","NY","Washington Heights","Under investigation","A 41-year-old woman died in a house fire.","Female","41","Unknown","","N","Multifamily","Not reported","http://www.nydailynews.com/new-york/ny-metro-fatal-fire-washington-heights-fdny-20181116-story.html"
"11/16/2018","NY","Town of Barton","Under investigation","A 71-year-old woman died in a house fire.","Female","71","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.mytwintiers.com/news/lockwood-house-destroyed-in-fire-resident-unaccounted-for/1601946584"
"11/06/2018","NY","Loch Sheldrake (Sullivan County)","Under investigation","A 52-year-old man died in a mobile home fire.","Male","52","Unknown","","N","1 & 2 family mobile","Not reported","https://www.recordonline.com/news/20181106/man-dies-in-fire-at-mobile-home-park"
"11/06/2018","NY","Horseheads (Chemung County)","Under investigation","A 58-year-old man died in a home fire.","Male","58","Unknown","","N","Not reported","Not reported","https://www.stargazette.com/story/news/public-safety/2018/11/08/victim-fatal-horseheads-fire-identified/1934316002/"
"11/05/2018","NY","Wright","Under investigation","An 85-year-old man died in a garage fire","Male","85","Older adults (65 and older)","","N","Other","Not reported","https://www.timesunion.com/news/article/Berne-firefighters-battle-Schoharie-Co-blaze-13364451.php"
"11/05/2018","NY","Queens","Under investigation","A 47-year-old woman died in a house fire","Female","47","Unknown","","N","1 & 2 family
","Not reported","http://www.nydailynews.com/new-york/queens/ny-metro-suspicious-fatal-fire-queens-home-20181105-story.html"
"10/20/2018","NY","North Granville","Electrical malfunction
","A 58-year-old woman died in a house fire.","Female","58","Unknown","","N","1 & 2 family
","Not reported","https://www.news10.com/news/local-news/one-dead-after-early-morning-fire/1538035297"
"10/18/2018","NY","Tonawanda","Under investigation","An 8-year-old boy died in a house fire.","Male","8","Children (14 and under)","","N","1 & 2 family
","Not reported","https://www.wivb.com/news/local-news/fire-engulfs-home-in-town-of-tonawanda/1535316342"
"10/07/2018","NY","Staten Island","Under investigation","A 62-year-old man died in a house fire","Female","62","Unknown","","N","1 & 2 family
","Not reported","https://www.ny1.com/nyc/all-boroughs/news/2018/10/07/fire-at-home-staten-island-nyc-nypd-says"
"09/30/2018","NY","Brooklyn","Under investigation","A 24-year-old man died in a house fire.","Male","24","Unknown","","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2018/09/30/fatal-house-fire-cypress-hills-brooklyn-fdny/"
"09/26/2018","NY","Sherburne","Under investigation","A 69-year-old woman died in a house fire.","Female","69","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://wnbf.com/woman-dies-in-sherburne-house-fire"
"09/25/2018","NY","Bronx","Electrical malfunction
","A 46-year-old woman died in an apartment fire.","Female","46","Unknown","","N","Multifamily","Not reported","https://nypost.com/2018/09/25/bronx-fire-leaves-woman-dead-2-others-critically-injured-cops/"
"09/24/2018","NY","Fairmount","Under investigation","A 42-year-old woman died in a townhouse fire.","Female","42","Unknown","","N","1 & 2 family
","Not reported","https://www.syracuse.com/crime/index.ssf/2018/09/one_person_killed_in_early_morning_fire.html"
"09/05/2018","NY","Monroe  (Orange County)","Under investigation","A man and a woman, both age 54, died in a house fire","Male","54","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://abc7ny.com/2-dead-in-house-fire-in-monroe-orange-county/4151536/;http://spectrumlocalnews.com/nys/hudson-valley/news/2018/09/05/fatal-fire-in-monroe-mombasha-lake"
"09/05/2018","NY","Monroe  (Orange County)","Under investigation","A man and a woman, both age 54, died in a house fire","Female","54","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://abc7ny.com/2-dead-in-house-fire-in-monroe-orange-county/4151536/;http://spectrumlocalnews.com/nys/hudson-valley/news/2018/09/05/fatal-fire-in-monroe-mombasha-lake"
"08/31/2018","NY","Wappinger","Under investigation","A seven-year-old boy died in a house fire","Male","7","Children (14 and under)","","N","1 & 2 family
","Not reported","https://abc7ny.com/7-year-old-boy-dies-in-dutchess-county-house-fire/4111364/"
"08/25/2018","NY","Brooklyn","Under investigation","A 79-year-old woman died in an apartment fire.","Female","79","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.nbcnewyork.com/news/local/Brooklyn-Brownstone-Fire-Kills-1-FDNY-Bed-Stuy-Quincy-St-491726551.html"
"08/17/2018","NY","Crown Heights, Brooklyn","Under investigation","A 79-year-old woman died in an apartment fire.","Female","79","Older adults (65 and older)","","N","Multifamily","Not present/not working","https://patch.com/new-york/prospectheights/fire-rips-through-crown-heights-building-fdny-says"
"08/12/2018","NY","Gloversville","Under investigation","A 47-year-old woman died on 8/13/18 as a result of injuries received in an apartment fire on 8/12/18.","Female","47","Unknown","","N","Multifamily","Not reported","http://www.leaderherald.com/news/local-news/2018/08/victim-of-sundays-fire-succumbs-to-her-injuries/"
"07/23/2018","NY","Blossvale","Under investigation","Three children, ages  2, 3, and 4 years old died in a mobile home fire","Female","2","Children (14 and under)","1 of 3","N","1 & 2 family mobile","Not reported","http://www.wktv.com/content/news/Crews-on-Scene-of-Mutual-Aid-Fire-in-Blossvale--488965681.html"
"07/23/2018","NY","Blossvale","Under investigation","Three children, ages  2, 3, and 4 years old died in a mobile home fire","Male","3","Children (14 and under)","2 of 3","N","1 & 2 family mobile","Not reported","http://www.wktv.com/content/news/Crews-on-Scene-of-Mutual-Aid-Fire-in-Blossvale--488965681.html"
"07/23/2018","NY","Blossvale","Under investigation","Three children, ages  2, 3, and 4 years old died in a mobile home fire","Female","4","Children (14 and under)","3 of 3","N","1 & 2 family mobile","Not reported","http://www.wktv.com/content/news/Crews-on-Scene-of-Mutual-Aid-Fire-in-Blossvale--488965681.html"
"07/23/2018","NY","Wevertown (Warren County)","Under investigation","A 41-year-old woman died from injuries sustained in an apartment fire.","Female","41","Unknown","","N","Multifamily","Not reported","http://www.suncommunitynews.com/articles/the-sun/wevertown-fire-fatal-for-one-second-victim-recovering/"
"07/22/2018","NY","West Babylon","Appliances","A 39-year-old man died in a house fire.","Male","39","Unknown","","N","1 & 2 family
","Not reported","https://www.nbcnewyork.com/news/local/House-Fire-in-West-Babylon-Kills-Man-3-Others-Survive-Police--488835271.html"
"07/16/2018","NY","Johnsburg (Warren County)","Under investigation","A 49-year-old woman died in a house fire.","Female","49","Unknown","","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/Warren-County-fire-kills-woman-badly-injures-man-13082827.php"
"07/11/2018","NY","Pomona","Under investigation","A man died in a house fire.  Age is 63","Male","63","Unknown","","N","1 & 2 family
","Present/not working","https://www.lohud.com/story/news/local/rockland/pomona/2018/07/13/don-gaston-identified-victim-fatal-pomona-house-fire/782565002/"
"07/10/2018","NY","Esopus","Electrical malfunction
","A 62-year-old man died in a house fire.","Male","62","Unknown","","N","1 & 2 family
","Not reported","https://www.poughkeepsiejournal.com/story/news/local/2018/07/12/esopus-house-fire-victim-fatal-fire-identified-queens-man/781087002/"
"07/07/2018","NY","New York (Brooklyn)","Electrical malfunction
","A 95-year-old woman died in a house fire.","Female","95","Unknown","","N","1 & 2 family
","Not reported","http://www.nydailynews.com/new-york/ny-metro-fire-killed-woman-accidental-20180708-story.html"
"07/02/2018","NY","Brooklyn","Under investigation","A 67-year-old woman died in a house fire.","Female","67","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://newyork.cbslocal.com/2018/07/02/67-year-old-woman-killed-in-brooklyn-fire/"
"07/01/2018","NY","Yorktown","Under investigation","A 53-year-old man died in a house fire.","Male","53","Unknown","","N","1 & 2 family
","Not reported","https://www.tapinto.net/towns/yorktown/sections/police-and-fire/articles/yorktown-man-killed-in-house-fire"
"06/18/2018","NY","Queens","Smoking","A 71-year-old woman died in an apartment fire.","Female","71","Older adults (65 and older)","","N","Multifamily","Not reported","http://abc7ny.com/1-woman-killed-in-far-rockaway-high-rise-fire/3615619/"
"06/18/2018","NY","Ronkonkoma","Under investigation","A 60-year-old man died in a house fire","Male","60","Unknown","","N","1 & 2 family
","Not reported","https://www.nbcnewyork.com/news/local/Ronkonkoma-Man-Killed-in-House-Fire-Suffolk-Police-Long-Island-485878721.html"
"06/18/2018","NY","Queens","Under investigation","A woman died in a house fire","Female","Unknown","Unknown","","N","1 & 2 family
","Not reported","http://pix11.com/2018/06/18/1-dead-several-injured-in-queens-house-fire/"
"06/15/2018","NY","Horseheads","Under investigation","A 64-year-old man died in a house fire.","Male","64","Unknown","","N","1 & 2 family
","Not reported","http://www.weny.com/story/38435353/state-police-fire-and-emergency-management-investigating-fatal-horseheads-fire"
"06/06/2018","NY","Ditmas Park, Brooklyn","Equipment malfunction
","Mother (59) and son (36) die as result of an apartment fire.  Fire reported to have started in a trash bag.  Under investigation.","Male","36","Unknown","1 of 2","N","Multifamily","Not reported","https://www.nbcnewyork.com/news/local/Brooklyn-Fire-Man-Woman-Dead-NYPD-FDNY-484669481.html"
"06/06/2018","NY","Ditmas Park, Brooklyn","Equipment malfunction
","Mother (59) and son (36) die as result of an apartment fire.  Fire reported to have started in a trash bag.  Under investigation.","Female","59","Unknown","2 of 2","N","Multifamily","Not reported","https://www.nbcnewyork.com/news/local/Brooklyn-Fire-Man-Woman-Dead-NYPD-FDNY-484669481.html"
"06/06/2018","NY","North Tonawanda","Under investigation","A 59-year-old woman died in an apartment fire.","Female","59","Unknown","","N","Multifamily","Not reported","http://www.wivb.com/news/local-news/crews-respond-to-fire-in-north-tonawanda/1221939963"
"06/02/2018","NY","Bronx","Under investigation","A 70-year-old man died in a house fire.","Male","70","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://nypost.com/2018/06/03/elderly-man-killed-in-house-fire-2/"
"05/28/2018","NY","Manhattan","Smoking","A 28-year-old man with disabilities died in an apartment fire","Male","28","Unknown","","Y","Multifamily","Not reported","https://www.nbcnewyork.com/news/local/1-Killed-in-Upper-West-Side-Apartment-Fire-FDNY-483880711.html"
"05/26/2018","NY","Hempstead","Under investigation","A 66-year-old woman died in an apartment fire","Female","66","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.newsday.com/long-island/nassau/fatal-fire-hempstead-1.18776677"
"05/23/2018","NY","Town of Ulster","Under investigation","A 33-year-old man died in a mobile home fire.","Male","33","Unknown","","N","1 & 2 family mobile","Not reported","http://www.dailyfreeman.com/general-news/20180523/fire-at-town-of-ulster-mobile-home-claims-life-of-man-33"
"05/22/2018","NY","Naples","Under investigation","A 94-year-old woman and a 64-year-old man died in a house fire","Male","64","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://www.democratandchronicle.com/story/news/2018/05/22/naples-fire-house-county-road-36/631802002/"
"05/22/2018","NY","Naples","Under investigation","A 94-year-old woman and a 64-year-old man died in a house fire","Female","94","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.democratandchronicle.com/story/news/2018/05/22/naples-fire-house-county-road-36/631802002/"
"05/13/2018","NY","Chatham","Under investigation","A 71-year-old man died in an apartment fire","Male","71","Older adults (65 and older)","","N","Multifamily","Not reported","http://wnyt.com/news/fire-chatham-manor-apartments-chatham-columbia-county/4906703"
"05/11/2018","NY","Queens","Under investigation","A 39-year-old man died in a house fire.","Male","39","Unknown","","N","Multifamily","Not reported","https://www.amny.com/news/queens-fire-1.18495796"
"05/02/2018","NY","Malta","Under investigation","A 32-year-old man with disabilities died in a house fire","Male","32","Unknown","","Y","1 & 2 family
","Not reported","http://wnyt.com/news/ballston-lake-house-fire-injuries-explosion/4890902/"
"05/01/2018","NY","East Palmyra","Under investigation","An 84-year-old woman died in a house fire","Female","84","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://www.whec.com/news/crews-respond-to-house-fire-in-wayne-county/4887813"
"04/28/2018","NY","Queens Village","Under investigation","Three fatalities reported:  87 year-old female, 82 year-old male and a 32 year-old female.  Additional victims transported in critical condition.","Male","82","Older adults (65 and older)","1 of 3","N","1 & 2 family
","Not reported","https://www.amny.com/news/queens-village-fire-1.18312460"
"04/28/2018","NY","Queens Village","Under investigation","Three fatalities reported:  87 year-old female, 82 year-old male and a 32 year-old female.  Additional victims transported in critical condition.","Female","32","Unknown","2 of 3","N","1 & 2 family
","Not reported","https://www.amny.com/news/queens-village-fire-1.18312460"
"04/28/2018","NY","Queens Village","Under investigation","Three fatalities reported:  87 year-old female, 82 year-old male and a 32 year-old female.  Additional victims transported in critical condition.","Female","87","Older adults (65 and older)","3 of 3","N","1 & 2 family
","Not reported","https://www.amny.com/news/queens-village-fire-1.18312460"
"04/25/2018","NY","Buffalo","Under investigation","A 55-year-old man died in an apartment fire.","Male","55","Unknown","","N","Multifamily","Not reported","https://www.wkbw.com/news/one-dead-in-overnight-south-buffalo-bar-fire"
"04/25/2018","NY","Niagra Falls","Under investigation","A woman in her 40s died in a house fire.","Female","40","Unknown","","N","1 & 2 family
","Not reported","http://www.wivb.com/news/local-news/woman-dies-in-niagara-falls-fire/1141745895"
"04/25/2018","NY","Eastchester","Under investigation","A 53-year-old woman died in a house fire.","Female","53","Unknown","","N","1 & 2 family
","Not reported","https://stluciatimes.com/2018/04/26/usa-grandma-dies-rushing-back-into-burning-home-to-save-pet-cats/"
"04/23/2018","NY","Ogdensburg","Under investigation","A 70-year-old man died in a home fire.","Male","70","Unknown","","N","1 & 2 family
","Not reported","http://www.wwnytv.com/story/38030882/ogdensburg-fire-victim-dies"
"04/21/2018","NY","Saugerties","Under investigation","A 46-year-old woman died in an apartment fire.","Female","46","Unknown","","N","Multifamily","Not reported","http://cbs6albany.com/news/local/saugerties-fire-sends-several-to-the-hospital"
"04/16/2018","NY","Far Rockaway (Queens)","Electrical malfunction
","An 86-year-old mother and her adult daughter in her 60's died in a house fire","Female","86","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not reported","http://pix11.com/2018/04/16/2-killed-in-far-rockaway-house-fire/"
"04/16/2018","NY","Far Rockaway (Queens)","Electrical malfunction
","An 86-year-old mother and her adult daughter in her 60's died in a house fire","Female","63","Unknown","2 of 2","N","1 & 2 family
","Not reported","http://pix11.com/2018/04/16/2-killed-in-far-rockaway-house-fire/"
"04/13/2018","NY","Bronx","Under investigation","A 94-year-old woman died in a house fire","Female","94","Unknown","","N","1 & 2 family
","Not reported","http://www.nydailynews.com/new-york/bronx/bronx-house-fire-kills-94-year-old-woman-article-1.3933301"
"04/10/2018","NY","Eggertsville","Under investigation","A 46-year-old man died in an apartment fire.","Male","46","Unknown","","N","Multifamily","Not reported","https://www.wkbw.com/news/amherst-man-loses-life-in-fire"
"04/07/2018","NY","New York","Under investigation","A 67-year-old man died in an apartment building fire.","Male","67","Older adults (65 and older)","","Y","Multifamily","Not present/not working","https://www.cbsnews.com/news/trump-tower-new-york-city-fire-victim-todd-brassner-spent-time-with-andy-warhol-2018-04-08/"
"04/05/2018","NY","Olinville (Bronx)","Other heat
","A 72-year-old man died in an apartment fire.","Male","72","Older adults (65 and older)","","N","Multifamily","Not reported","http://www.nydailynews.com/new-york/bronx/bronx-man-nicknamed-preacher-neighbors-dies-fire-article-1.3920877"
"04/02/2018","NY","Durham","Under investigation","An adult male and female, both 68 years-old, along with a 10-year-old boy, 8-year-old boy and 7-year-old girl died in a house fire","Female","68","Unknown","1 of 5","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/State-Police-on-scene-of-fire-in-Durham-12798721.php;https://www.timesunion.com/news/article/State-Police-identify-the-5-Durham-fire-victims-12804923.php"
"04/02/2018","NY","Durham","Under investigation","An adult male and female, both 68 years-old, along with a 10-year-old boy, 8-year-old boy and 7-year-old girl died in a house fire","Female","7","Children (14 and under)","2 of 5","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/State-Police-on-scene-of-fire-in-Durham-12798721.php;https://www.timesunion.com/news/article/State-Police-identify-the-5-Durham-fire-victims-12804923.php"
"04/02/2018","NY","Durham","Under investigation","An adult male and female, both 68 years-old, along with a 10-year-old boy, 8-year-old boy and 7-year-old girl died in a house fire","Male","10","Children (14 and under)","3 of 5","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/State-Police-on-scene-of-fire-in-Durham-12798721.php;https://www.timesunion.com/news/article/State-Police-identify-the-5-Durham-fire-victims-12804923.php"
"04/02/2018","NY","Durham","Under investigation","An adult male and female, both 68 years-old, along with a 10-year-old boy, 8-year-old boy and 7-year-old girl died in a house fire","Male","68","Unknown","4 of 5","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/State-Police-on-scene-of-fire-in-Durham-12798721.php;https://www.timesunion.com/news/article/State-Police-identify-the-5-Durham-fire-victims-12804923.php"
"04/02/2018","NY","Durham","Under investigation","An adult male and female, both 68 years-old, along with a 10-year-old boy, 8-year-old boy and 7-year-old girl died in a house fire","Male","8","Children (14 and under)","5 of 5","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/State-Police-on-scene-of-fire-in-Durham-12798721.php;https://www.timesunion.com/news/article/State-Police-identify-the-5-Durham-fire-victims-12804923.php"
"03/27/2018","NY","Dix, Schuyler County","Under investigation","One person is dead after a structure fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.stargazette.com/story/news/public-safety/2018/03/28/one-dead-schuyler-county-house-fire/465175002/"
"03/25/2018","NY","Town of Marshall","Under investigation","A 69-year-old woman died in a house fire.","Female","69","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://spectrumlocalnews.com/nys/central-ny/news/2018/03/25/town-of-marshall-fire"
"03/19/2018","NY","Staten Island","Under investigation","A 29-year-old woman died in a house fire","Female","29","Unknown","","N","1 & 2 family
","Not reported","https://www.nbcnewyork.com/news/local/Woman-Dies-Firefighters-Hurt-House-Fire-Staten-Island-FDNY-477358363.html"
"03/18/2018","NY","East Village","Under investigation","A 71-year-old man died","Male","71","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.amny.com/news/east-village-fire-1.17470189"
"03/18/2018","NY","Rensselaer","Under investigation","68-year-old female, 41-year-old female, and an 8-year-old male died during a dwelling fire.","Female","68","Older adults (65 and older)","1 of 3","N","1 & 2 family
","Not reported","http://news10.com/2018/03/16/officials-release-cause-of-fatal-rensselaer-house-fire/"
"03/18/2018","NY","Rensselaer","Under investigation","68-year-old female, 41-year-old female, and an 8-year-old male died during a dwelling fire.","Female","41","Unknown","2 of 3","N","1 & 2 family
","Not reported","http://news10.com/2018/03/16/officials-release-cause-of-fatal-rensselaer-house-fire/"
"03/18/2018","NY","Rensselaer","Under investigation","68-year-old female, 41-year-old female, and an 8-year-old male died during a dwelling fire.","Male","8","Children (14 and under)","3 of 3","N","1 & 2 family
","Not reported","http://news10.com/2018/03/16/officials-release-cause-of-fatal-rensselaer-house-fire/"
"03/15/2018","NY","Chestertown (Warren County)","Under investigation","A 36-year-old woman died in a house fire.","Female","36","Unknown","","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/Police-investigating-fatal-Warren-County-fire-12757365.php"
"03/12/2018","NY","Johnson City","Under investigation","A 60-year-old man died in a house fire.","Male","60","Unknown","","N","1 & 2 family
","Not reported","http://www.mytwintiers.com/news/local-news/johnson-city-fire-victim-was-a-long-time-elmira-resident/1075310560"
"03/11/2018","NY","Rensselaer","Under investigation","Two adults and a child died in a house fire.","Unknown","8","Unknown","1 of 3","N","1 & 2 family
","Not reported","http://cnycentral.com/news/local/three-dead-including-a-child-following-early-morning-rensselaer-house-fire-03-11-2018"
"03/11/2018","NY","Rensselaer","Under investigation","Two adults and a child died in a house fire.","Male","41","Unknown","2 of 3","N","1 & 2 family
","Not reported","http://cnycentral.com/news/local/three-dead-including-a-child-following-early-morning-rensselaer-house-fire-03-11-2018"
"03/11/2018","NY","Rensselaer","Under investigation","Two adults and a child died in a house fire.","Female","68","Unknown","3 of 3","N","1 & 2 family
","Not reported","http://cnycentral.com/news/local/three-dead-including-a-child-following-early-morning-rensselaer-house-fire-03-11-2018"
"03/10/2018","NY","Elmira","Under investigation","A 29-year-old man, 5-year-old girl and 6-year-old boy died in a house fire.","Male","29","Unknown","1 of 3","N","1 & 2 family
","Not reported","http://www.stargazette.com/story/news/public-safety/2018/03/11/two-children-adult-killed-elmira-house-fire/415006002/"
"03/10/2018","NY","Elmira","Under investigation","A 29-year-old man, 5-year-old girl and 6-year-old boy died in a house fire.","Male","6","Unknown","2 of 3","N","1 & 2 family
","Not reported","http://www.stargazette.com/story/news/public-safety/2018/03/11/two-children-adult-killed-elmira-house-fire/415006002/"
"03/10/2018","NY","Elmira","Under investigation","A 29-year-old man, 5-year-old girl and 6-year-old boy died in a house fire.","Female","5","Unknown","3 of 3","N","1 & 2 family
","Not reported","http://www.stargazette.com/story/news/public-safety/2018/03/11/two-children-adult-killed-elmira-house-fire/415006002/"
"03/05/2018","NY","Bronx","Under investigation","Two men died in an apartment fire.","Male","Unknown","Unknown","1 of 2","N","Multifamily","Not reported","http://newyork.cbslocal.com/2018/03/05/fatal-belmont-bronx-fire/"
"03/05/2018","NY","Bronx","Under investigation","Two men died in an apartment fire.","Male","Unknown","Unknown","2 of 2","N","Multifamily","Not reported","http://newyork.cbslocal.com/2018/03/05/fatal-belmont-bronx-fire/"
"03/03/2018","NY","Louisville  (St. Lawrence County)","Under investigation","A 68-year-old man died in a fire in his garage.","Male","68","Unknown","","N","Other","Not reported","http://www.wwnytv.com/story/37682316/louisville-man-dies-after-mysterious-fire"
"02/28/2018","NY","New York","Heating","Two females were transported to local hospital and both pronounced deceased.","Female","Unknown","Unknown","1 of 2","N","Multifamily","Not reported","http://pix11.com/2018/02/28/2-dead-in-brooklyn-apartment-fire/"
"02/28/2018","NY","New York","Heating","Two females were transported to local hospital and both pronounced deceased.","Female","Unknown","Unknown","2 of 2","N","Multifamily","Not reported","http://pix11.com/2018/02/28/2-dead-in-brooklyn-apartment-fire/"
"02/22/2018","NY","Lindenhurst","Under investigation","A 79-year-old woman died in a house fire.","Female","79","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.usnews.com/news/best-states/new-york/articles/2018-02-22/elderly-woman-dies-in-long-island-house-fire"
"02/16/2018","NY","Dunkirk","Under investigation","An elderly woman died in a house fire.","Female","Unknown","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.wkbw.com/news/elderly-woman-found-dead-in-dunkirk-house-fire"
"02/14/2018","NY","Hampton (Washington County)","Equipment malfunction
","A 73-year-old man died in a house fire.","Male","73","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/One-killed-one-injured-in-Washington-County-fire-12615989.php"
"02/13/2018","NY","Cicero","Under investigation","A 70-year-old man died in house fire.","Male","76","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://cnycentral.com/news/local/crews-respond-to-house-fire-in-cicero"
"02/09/2018","NY","Davenport (Delaware County)","Under investigation","A 1-year-old and a 3-year-old died in an apartment fire.","Unknown","3","Children (14 and under)","1 of 2","N","Multifamily","Not reported","https://www.seattletimes.com/nation-world/house-fire-kills-2-children-burns-adult-in-central-new-york/"
"02/09/2018","NY","Davenport (Delaware County)","Under investigation","A 1-year-old and a 3-year-old died in an apartment fire.","Unknown","1","Children (14 and under)","2 of 2","N","Multifamily","Not reported","https://www.seattletimes.com/nation-world/house-fire-kills-2-children-burns-adult-in-central-new-york/"
"02/09/2018","NY","Queens","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","http://www.nydailynews.com/new-york/queens/fire-kills-man-queens-home-article-1.3811376"
"02/08/2018","NY","Queens (Richmond Hill)","Appliances","A 48-year-old woman died in a house fire.","Female","48","Unknown","","N","1 & 2 family
","Not reported","http://pix11.com/2018/02/09/woman-killed-in-queens-apartment-fire/"
"02/06/2018","NY","Rochester","Under investigation","A 32-year-old man died in a house fire.","Male","32","Unknown","","N","1 & 2 family
","Not present/not working","https://www.democratandchronicle.com/story/news/2018/02/06/1-dead-fire-northeast-rochester/313862002/"
"02/05/2018","NY","Carthage","Under investigation","A 77-year-old woman died in a house fire","Female","77","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://www.wwnytv.com/story/37426930/carthage-woman-dies-in-early-morning-fire"
"01/29/2018","NY","Buffalo","Smoking","A 7-year-old boy died in a house fire.","Male","7","Children (14 and under)","","N","1 & 2 family
","Not reported","http://www.wgrz.com/article/news/local/6-year-old-killed-in-buffalo-fire/71-512460558"
"01/28/2018","NY","Long Island","Under investigation","An 84-year-old man died in a house fire.","Male","84","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.nbcnewyork.com/news/local/Elderly-Man-Dies-in-Long-Island-House-Fire-Police-Plainview--471538004.html"
"01/22/2018","NY","Smyrna","Under investigation","A 1-year-old boy, a 10-year-old girl and their 33-year-old mother died in a camper fire.","Female","10","Children (14 and under)","1 of 3","N","Camper/RV/travel trailer","Not reported","http://www.latimes.com/sns-bc-ny--fire-three-dead-20180122-story.html"
"01/22/2018","NY","Smyrna","Under investigation","A 1-year-old boy, a 10-year-old girl and their 33-year-old mother died in a camper fire.","Male","1","Children (14 and under)","2 of 3","N","Camper/RV/travel trailer","Not reported","http://www.latimes.com/sns-bc-ny--fire-three-dead-20180122-story.html"
